Week,Game,Bye,courts 1,courts 2,courts 3,courts 4
Week 1,Game 1,"['Team 1', 'Team 2', 'Team 3', 'Team 4']",['Team 12 vs. Team 5'],['Team 11 vs. Team 6'],['Team 10 vs. Team 7'],['Team 8 vs. Team 9']
Week 1,Game 2,"['Team 5', 'Team 6', 'Team 7', 'Team 8']",['Team 4 vs. Team 9'],['Team 10 vs. Team 3'],['Team 11 vs. Team 2'],['Team 1 vs. Team 12']
Week 1,Game 3,"['Team 9', 'Team 10', 'Team 11', 'Team 12']",['Team 1 vs. Team 8'],['Team 2 vs. Team 7'],['Team 3 vs. Team 6'],['Team 4 vs. Team 5']
Week 2,Game 1,"['Team 5', 'Team 6', 'Team 7', 'Team 8']",['Team 3 vs. Team 9'],['Team 2 vs. Team 4'],['Team 10 vs. Team 1'],['Team 11 vs. Team 12']
Week 2,Game 2,"['Team 9', 'Team 10', 'Team 11', 'Team 12']",['Team 1 vs. Team 7'],['Team 6 vs. Team 8'],['Team 2 vs. Team 5'],['Team 3 vs. Team 4']
Week 2,Game 3,"['Team 1', 'Team 2', 'Team 3', 'Team 4']",['Team 11 vs. Team 5'],['Team 10 vs. Team 12'],['Team 6 vs. Team 9'],['Team 7 vs. Team 8']
Week 3,Game 1,"['Team 9', 'Team 10', 'Team 11', 'Team 12']",['Team 1 vs. Team 6'],['Team 5 vs. Team 7'],['Team 4 vs. Team 8'],['Team 2 vs. Team 3']
Week 3,Game 2,"['Team 1', 'Team 2', 'Team 3', 'Team 4']",['Team 10 vs. Team 5'],['Team 11 vs. Team 9'],['Team 12 vs. Team 8'],['Team 6 vs. Team 7']
Week 3,Game 3,"['Team 5', 'Team 6', 'Team 7', 'Team 8']",['Team 2 vs. Team 9'],['Team 1 vs. Team 3'],['Team 12 vs. Team 4'],['Team 10 vs. Team 11']
Week 4,Game 1,"['Team 1', 'Team 2', 'Team 3', 'Team 4']",['Team 5 vs. Team 9'],['Team 10 vs. Team 8'],['Team 11 vs. Team 7'],['Team 12 vs. Team 6']
Week 4,Game 2,"['Team 5', 'Team 6', 'Team 7', 'Team 8']",['Team 1 vs. Team 9'],['Team 12 vs. Team 2'],['Team 11 vs. Team 3'],['Team 10 vs. Team 4']
Week 4,Game 3,"['Team 9', 'Team 10', 'Team 11', 'Team 12']",['Team 1 vs. Team 5'],['Team 4 vs. Team 6'],['Team 3 vs. Team 7'],['Team 2 vs. Team 8']
Week 5,Game 1,"['Team 5', 'Team 6', 'Team 7', 'Team 8']",['Team 12 vs. Team 9'],['Team 11 vs. Team 1'],['Team 10 vs. Team 2'],['Team 3 vs. Team 4']
Week 5,Game 2,"['Team 9', 'Team 10', 'Team 11', 'Team 12']",['Team 1 vs. Team 4'],['Team 3 vs. Team 5'],['Team 2 vs. Team 6'],['Team 7 vs. Team 8']
Week 5,Game 3,"['Team 1', 'Team 2', 'Team 3', 'Team 4']",['Team 5 vs. Team 8'],['Team 7 vs. Team 9'],['Team 10 vs. Team 6'],['Team 11 vs. Team 12']
Week 6,Game 1,"['Team 9', 'Team 10', 'Team 11', 'Team 12']",['Team 1 vs. Team 3'],['Team 2 vs. Team 4'],['Team 5 vs. Team 8'],['Team 6 vs. Team 7']
Week 6,Game 2,"['Team 1', 'Team 2', 'Team 3', 'Team 4']",['Team 5 vs. Team 7'],['Team 6 vs. Team 8'],['Team 12 vs. Team 9'],['Team 10 vs. Team 11']
Week 6,Game 3,"['Team 5', 'Team 6', 'Team 7', 'Team 8']",['Team 11 vs. Team 9'],['Team 10 vs. Team 12'],['Team 1 vs. Team 4'],['Team 2 vs. Team 3']
Week 7,Game 1,"['Team 1', 'Team 2', 'Team 3', 'Team 4']",['Team 5 vs. Team 6'],['Team 12 vs. Team 7'],['Team 11 vs. Team 8'],['Team 10 vs. Team 9']
Week 7,Game 2,"['Team 5', 'Team 6', 'Team 7', 'Team 8']",['Team 10 vs. Team 9'],['Team 11 vs. Team 4'],['Team 12 vs. Team 3'],['Team 1 vs. Team 2']
Week 7,Game 3,"['Team 9', 'Team 10', 'Team 11', 'Team 12']",['Team 1 vs. Team 2'],['Team 3 vs. Team 8'],['Team 4 vs. Team 7'],['Team 5 vs. Team 6']
Week 8,Game 1,"['Team 5', 'Team 6', 'Team 7', 'Team 8']",['Team 4 vs. Team 9'],['Team 10 vs. Team 3'],['Team 11 vs. Team 2'],['Team 1 vs. Team 12']
Week 8,Game 2,"['Team 9', 'Team 10', 'Team 11', 'Team 12']",['Team 1 vs. Team 8'],['Team 2 vs. Team 7'],['Team 3 vs. Team 6'],['Team 4 vs. Team 5']
Week 8,Game 3,"['Team 1', 'Team 2', 'Team 3', 'Team 4']",['Team 12 vs. Team 5'],['Team 11 vs. Team 6'],['Team 10 vs. Team 7'],['Team 8 vs. Team 9']
Week 9,Game 1,"['Team 9', 'Team 10', 'Team 11', 'Team 12']",['Team 1 vs. Team 7'],['Team 6 vs. Team 8'],['Team 2 vs. Team 5'],['Team 3 vs. Team 4']
Week 9,Game 2,"['Team 1', 'Team 2', 'Team 3', 'Team 4']",['Team 11 vs. Team 5'],['Team 10 vs. Team 12'],['Team 6 vs. Team 9'],['Team 7 vs. Team 8']
Week 9,Game 3,"['Team 5', 'Team 6', 'Team 7', 'Team 8']",['Team 3 vs. Team 9'],['Team 2 vs. Team 4'],['Team 10 vs. Team 1'],['Team 11 vs. Team 12']
