Week,Game,court 1,court 2,court 3
Week 1,Game 1,['Team 3 vs. Team 4'],['Team 2 vs. Team 5'],['Team 1 vs. Team 6']
Week 1,Game 2,['Team 4 vs. Team 6'],['Team 1 vs. Team 5'],['Team 2 vs. Team 3']
Week 2,Game 1,['Team 3 vs. Team 5'],['Team 1 vs. Team 4'],['Team 2 vs. Team 6']
Week 2,Game 2,['Team 1 vs. Team 3'],['Team 5 vs. Team 6'],['Team 2 vs. Team 4']
Week 3,Game 1,['Team 1 vs. Team 2'],['Team 3 vs. Team 6'],['Team 4 vs. Team 5']
Week 3,Game 2,['Team 3 vs. Team 4'],['Team 2 vs. Team 5'],['Team 1 vs. Team 6']
Week 4,Game 1,['Team 4 vs. Team 6'],['Team 1 vs. Team 5'],['Team 2 vs. Team 3']
Week 4,Game 2,['Team 2 vs. Team 6'],['Team 3 vs. Team 5'],['Team 1 vs. Team 4']
Week 5,Game 1,['Team 2 vs. Team 4'],['Team 5 vs. Team 6'],['Team 1 vs. Team 3']
Week 5,Game 2,['Team 3 vs. Team 4'],['Team 2 vs. Team 5'],['Team 1 vs. Team 6']
Week 6,Game 1,['Team 4 vs. Team 6'],['Team 1 vs. Team 5'],['Team 2 vs. Team 3']
Week 6,Game 2,['Team 3 vs. Team 5'],['Team 1 vs. Team 4'],['Team 2 vs. Team 6']
Week 7,Game 1,['Team 1 vs. Team 3'],['Team 5 vs. Team 6'],['Team 2 vs. Team 4']
Week 7,Game 2,['Team 1 vs. Team 2'],['Team 3 vs. Team 6'],['Team 4 vs. Team 5']
Week 8,Game 1,['Team 3 vs. Team 4'],['Team 2 vs. Team 5'],['Team 1 vs. Team 6']
Week 8,Game 2,['Team 4 vs. Team 6'],['Team 1 vs. Team 5'],['Team 2 vs. Team 3']
Week 9,Game 1,['Team 2 vs. Team 6'],['Team 3 vs. Team 5'],['Team 1 vs. Team 4']
Week 9,Game 2,['Team 2 vs. Team 4'],['Team 5 vs. Team 6'],['Team 1 vs. Team 3']
